lecture_id,season,module,module_number,lecture_number,working_title,content_type,learning_objective,key_concepts,prerequisites,priority,status,idea_date,research_complete,verification_complete,script_complete,code_complete,technical_qa_complete,record_date,edit_complete,fact_check_complete,publish_date,youtube_url,github_url,notes
ML-01,Season-01,Foundations,1,1,"What Is Machine Learning?","Deep Lecture","Understand what machine learning is and how it differs from traditional programming","machine learning,supervised learning,unsupervised learning,generalization,models","None",HIGH,RECORDING READY,2026-09-01,,,,,,,,,,,"Canonical 19-slide deck and recording package synchronized on 2026-09-05; physical recording-session checks remain local."
ML-02,Season-01,Foundations,1,2,"How Does a Machine Learning Model Learn?","Deep Lecture","Understand learning as parameter adjustment based on prediction error","parameters,predictions,loss,training,model","ML-01",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-03,Season-01,Foundations,1,3,"Data, Features, Labels & Representations","Deep Lecture","Understand how real-world information becomes numerical data for ML","features,labels,dataset,feature matrix,representation","ML-02",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-04,Season-01,Foundations,1,4,"Training, Validation & Test Sets","Deep Lecture","Understand how models are evaluated on unseen data and how leakage occurs","training set,validation set,test set,generalization,data leakage","ML-03",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-05,Season-01,Mathematics of Learning,2,5,"What Is a Loss Function?","Deep Lecture","Understand how prediction error is represented mathematically","loss function,MSE,objective function,empirical risk","ML-04",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-06,Season-01,Mathematics of Learning,2,6,"Derivatives, Gradients & Optimization","Deep Lecture","Understand how derivatives and gradients describe how an objective changes","derivative,partial derivative,gradient,optimization,minima","ML-05",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-07,Season-01,Mathematics of Learning,2,7,"Gradient Descent From First Principles","Deep Lecture","Derive and implement gradient descent to minimize an objective function","gradient descent,learning rate,gradient,optimization,convergence","ML-06",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-08,Season-01,Linear Regression,3,8,"Linear Regression: Our First Learning Algorithm","Deep Lecture","Understand linear regression as a complete machine learning model","linear model,weights,bias,prediction,hypothesis","ML-07",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-09,Season-01,Linear Regression,3,9,"Training Linear Regression With Gradient Descent","Deep Lecture","Combine linear regression, MSE, derivatives and gradient descent into one learning algorithm","MSE,gradients,parameter updates,training,convergence","ML-08",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-10,Season-01,Linear Regression,3,10,"Linear Regression From Scratch in Python","Practical Lab","Implement linear regression using Python and NumPy without a high-level estimator","Python,NumPy,forward pass,MSE,gradient descent,training loop","ML-09",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-11,Season-01,Linear Regression,3,11,"What Happens When We Change the Learning Process?","Experiment","Develop experimental intuition by changing training conditions and observing model behavior","learning rate,iterations,initialization,convergence,loss curves,feature scaling","ML-10",MEDIUM,IDEA,2026-09-01,,,,,,,,,,,,
ML-12,Season-01,Generalization & Classification,4,12,"Why Do Models Overfit?","Deep Lecture","Understand why training performance can differ from performance on unseen data","overfitting,underfitting,generalization,model complexity,bias,variance,regularization","ML-11",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-13,Season-01,Generalization & Classification,4,13,"From Regression to Classification: Logistic Regression","Deep Lecture","Understand how a regression-style model can produce probabilities for binary classification","classification,sigmoid,logits,probability,decision boundary","ML-12",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-14,Season-01,Generalization & Classification,4,14,"Logistic Regression From Scratch","Practical Lab","Implement logistic regression and understand its training process mathematically","sigmoid,cross-entropy,gradients,gradient descent,classification","ML-13",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
ML-15,Season-01,Generalization & Classification,4,15,"How Do We Know If Our Model Is Good?","Deep Lecture","Build and evaluate a complete machine learning pipeline using appropriate evaluation metrics","confusion matrix,accuracy,precision,recall,F1,error analysis,baseline","ML-14",HIGH,IDEA,2026-09-01,,,,,,,,,,,,
